,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
card,1.0,-0.4525768569767245,0.0005368537728991004,0.0943075202463095,0.38802834545653003,0.3658138230827984,0.14782577524578502,-0.054340383054278484,-0.03612638782078835,-0.0002683480924259629,0.10776890543290785,0.08046434419971243
reports,-0.4525768569767245,1.0,0.044088513179621605,0.011022871330454709,-0.15901078887564368,-0.1365375970819462,-0.05357041534229235,0.01883505009450721,0.01973089576613959,0.04896761846651096,-0.007303560807779407,0.20775501558871445
age,0.0005368537728991004,0.044088513179621605,1.0,0.3246531986727646,-0.11569703810212442,0.014947698058606958,0.3677491217508695,0.1004206528673575,0.21214643237892297,0.43642554049255283,0.009776687029861102,0.1810697146034079
income,0.0943075202463095,0.011022871330454709,0.3246531986727646,1.0,-0.05442925537604136,0.2811040182177779,0.3247762184311019,0.112294228031734,0.3176013043711108,0.13034627048469805,0.10713778169121035,0.18054025749371133
share,0.38802834545653003,-0.15901078887564368,-0.11569703810212442,-0.05442925537604136,1.0,0.8387793216392344,-0.01576359879827698,-0.0789049948136003,-0.08261775903586699,-0.055347562199056184,0.05146956041483872,-0.0234743958697707
expenditure,0.3658138230827984,-0.1365375970819462,0.014947698058606958,0.2811040182177779,0.8387793216392344,1.0,0.09318009489886751,-0.03563761233853659,0.05266405528621229,-0.02900659649299295,0.07751380982023534,0.054724241116548646
owner,0.14782577524578502,-0.05357041534229235,0.3677491217508695,0.3247762184311019,-0.01576359879827698,0.09318009489886751,1.0,0.04167292085605785,0.3091897326420484,0.23865230916845695,0.0638512906523573,0.2749236930444374
selfemp,-0.054340383054278484,0.01883505009450721,0.1004206528673575,0.112294228031734,-0.0789049948136003,-0.03563761233853659,0.04167292085605785,1.0,0.04209630081224877,0.06591191477431495,0.004853641868635464,0.029554543294455237
dependents,-0.03612638782078835,0.01973089576613959,0.21214643237892297,0.3176013043711108,-0.08261775903586699,0.05266405528621229,0.3091897326420484,0.04209630081224877,1.0,0.046511967891635614,0.010284540786912077,0.10713275881778711
months,-0.0002683480924259629,0.04896761846651096,0.43642554049255283,0.13034627048469805,-0.055347562199056184,-0.02900659649299295,0.23865230916845695,0.06591191477431495,0.046511967891635614,1.0,-0.04144688273341737,0.10002763549103176
majorcards,0.10776890543290785,-0.007303560807779407,0.009776687029861102,0.10713778169121035,0.05146956041483872,0.07751380982023534,0.0638512906523573,0.004853641868635464,0.010284540786912077,-0.04144688273341737,1.0,0.11960277749475647
active,0.08046434419971243,0.20775501558871445,0.1810697146034079,0.18054025749371133,-0.0234743958697707,0.054724241116548646,0.2749236930444374,0.029554543294455237,0.10713275881778711,0.10002763549103176,0.11960277749475647,1.0
