核卡狀況,聯徵紀錄,年齡,年收入,收支比,每月信用卡支出平均,扶養人數,居住時間,持有主卡,活躍帳戶,房地產_no,房地產_yes,創業人士_no,創業人士_yes
1,-0.3397165448614566,37,0.6791319931855596,-0.37311190532411026,-0.2199627687123926,3,4,1,12,0,1,1,0
1,-0.3397165448614566,33,-0.5580709325138452,-0.6690694794085312,-0.64212231913056,3,2,1,13,1,0,1,0
1,-0.3397165448614566,33,0.6673491081788989,-0.6802670548567761,-0.6232533978662352,4,4,1,5,0,1,1,0
1,-0.3397165448614566,30,-0.4873736224738792,-0.0361054868920887,-0.17271229779350306,0,2,1,7,1,0,1,0
1,-0.3397165448614566,32,3.781978016414634,-0.01672722247265174,1.3256815791197576,2,5,1,5,0,1,1,0
1,-0.3397165448614566,23,-0.5109393924872011,-0.2552848288241793,-0.34091930271678256,0,4,1,1,1,0,1,0
1,-0.3397165448614566,27,0.34921121299905195,-0.5914342743418598,-0.5285268356623476,2,0,1,5,1,0,1,0
1,-0.3397165448614566,29,-0.5875281450304974,0.08226480683496801,-0.12533385432825914,0,6,1,3,0,1,1,0
1,-0.3397165448614566,37,0.25494813294576385,1.8672555152584007,2.173888016559444,0,8,1,6,0,1,1,0
1,-0.3397165448614566,28,-0.09853841725406615,-0.5154298603517983,-0.4854537333389714,0,5,1,18,1,0,1,0
1,-0.3397165448614566,30,0.3433197704957214,0.09904767661379134,0.26288938255552013,1,2,1,20,0,1,1,0
0,-0.3397165448614566,42,-0.8172944026603871,-0.7177140746447646,-0.6782559249526896,2,3,1,0,0,1,1,0
0,-0.3397165448614566,30,-0.9645804652436496,-0.7167900989607686,-0.6782559249526896,1,3,0,12,0,1,1,0
1,-0.3397165448614566,28,-0.5403966050038537,-0.3148170692354342,-0.3890373468295824,0,2,1,3,0,1,1,0
1,-0.3397165448614566,35,-0.8597127886843668,-0.4402433844394034,-0.5219937455000726,2,10,0,5,0,1,1,0
1,-0.3397165448614566,41,-0.09853841725406615,0.603281128851467,0.5517289199302989,1,14,1,22,0,1,1,0
1,-0.3397165448614566,40,0.3727769830123739,0.06519487275724993,0.23375637737539484,2,8,1,0,0,1,1,0
0,4.851559242172848,29,-0.21636726732067615,-0.7198880048788258,-0.6782559249526896,2,5,1,8,0,1,1,0
1,-0.3397165448614566,39,3.9075835705856408,-0.02997511854215244,1.3312980705023125,0,2,1,0,0,1,0,1
0,1.8851159352961027,45,0.019290432812543862,-0.7203844731415537,-0.6782559249526896,0,2,1,10,1,0,1,0
1,-0.3397165448614566,35,-0.5993110300371587,-0.48793709738422075,-0.5193383334973928,2,9,1,1,0,1,1,0
