核卡狀況,聯徵紀錄,年齡,年收入,收支比,每月信用卡支出平均,扶養人數,居住時間,持有主卡,活躍帳戶,核卡狀況_no,核卡狀況_yes,房地產_no,房地產_yes,創業人士_no,創業人士_yes
yes,-0.3397165448614569,37,0.6791319931855594,-0.3731119053241105,-0.21996276871239182,3,4,1,12,0,1,0,1,1,0
yes,-0.3397165448614569,33,-0.558070932513845,-0.6690694794085316,-0.6421223191305577,3,2,1,13,0,1,1,0,1,0
yes,-0.3397165448614569,33,0.6673491081788986,-0.6802670548567764,-0.623253397866233,4,4,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,30,-0.48737362247387905,-0.03610548689208872,-0.17271229779350245,0,2,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,32,3.781978016414633,-0.01672722247265175,1.325681579119753,2,5,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,23,-0.510939392487201,-0.25528482882417947,-0.34091930271678134,0,4,1,1,0,1,1,0,1,0
yes,-0.3397165448614569,27,0.34921121299905183,-0.5914342743418601,-0.5285268356623457,2,0,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,29,-0.5875281450304972,0.08226480683496806,-0.1253338543282587,0,6,1,3,0,1,0,1,1,0
yes,-0.3397165448614569,37,0.25494813294576374,1.8672555152584018,2.173888016559436,0,8,1,6,0,1,0,1,1,0
yes,-0.3397165448614569,28,-0.0985384172540661,-0.5154298603517986,-0.4854537333389697,0,5,1,18,0,1,1,0,1,0
yes,-0.3397165448614569,30,0.3433197704957212,0.0990476766137914,0.26288938255551925,1,2,1,20,0,1,0,1,1,0
no,-0.3397165448614569,42,-0.8172944026603868,-0.717714074644765,-0.6782559249526872,2,3,1,0,1,0,0,1,1,0
no,-0.3397165448614569,30,-0.9645804652436493,-0.7167900989607691,-0.6782559249526872,1,3,0,12,1,0,0,1,1,0
yes,-0.3397165448614569,28,-0.5403966050038534,-0.31481706923543434,-0.389037346829581,0,2,1,3,0,1,0,1,1,0
yes,-0.3397165448614569,35,-0.8597127886843665,-0.4402433844394037,-0.5219937455000708,2,10,0,5,0,1,0,1,1,0
yes,-0.3397165448614569,41,-0.0985384172540661,0.6032811288514673,0.5517289199302969,1,14,1,22,0,1,0,1,1,0
yes,-0.3397165448614569,40,0.3727769830123737,0.06519487275724997,0.233756377375394,2,8,1,0,0,1,0,1,1,0
no,4.851559242172853,29,-0.21636726732067604,-0.7198880048788262,-0.6782559249526872,2,5,1,8,1,0,0,1,1,0
yes,-0.3397165448614569,39,3.907583570585639,-0.029975118542152457,1.3312980705023076,0,2,1,0,0,1,0,1,0,1
no,1.8851159352961047,45,0.01929043281254385,-0.7203844731415542,-0.6782559249526872,0,2,1,10,1,0,1,0,1,0
yes,-0.3397165448614569,35,-0.5993110300371584,-0.4879370973842211,-0.519338333497391,2,9,1,1,0,1,0,1,1,0
no,0.4018942818577303,25,-0.879154548945357,-0.7173560154729187,-0.6782559249526872,2,0,0,2,1,0,1,0,1,0
yes,-0.3397165448614569,34,-0.8055115176537259,0.6591178252252405,0.12302088964277755,0,1,1,0,0,1,0,1,1,0
yes,0.4018942818577303,35,0.3727769830123737,-0.18403200945297898,-0.05254424334907295,2,1,1,22,0,1,1,0,1,0
yes,-0.3397165448614569,42,1.0444014283920504,-0.629692032917638,-0.5404440498644107,2,1,1,17,0,1,0,1,1,0
yes,-0.3397165448614569,30,0.670883973680897,0.6868652641272301,1.1632349155215356,2,3,1,7,0,1,1,0,1,0
no,-0.3397165448614569,21,0.2785139029590857,-0.7208111260163967,-0.6782559249526872,1,1,0,1,1,0,1,0,0,1
yes,-0.3397165448614569,22,-1.1000836428202507,-0.10579617429940287,-0.40992914003458586,0,5,1,6,0,1,1,0,1,0
no,-0.3397165448614569,34,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,1,1,1,0,1,0,0,1,1,0
yes,-0.3397165448614569,40,1.2564933585119484,2.8044260290448593,4.942169971706356,4,6,1,19,0,1,0,1,1,0
yes,-0.3397165448614569,21,-0.7894867940446667,-0.4569816279049478,-0.5217156893914731,0,0,0,5,0,1,1,0,1,0
yes,0.4018942818577303,29,-0.0985384172540661,0.9292747648620533,0.8538761353918852,0,1,1,6,0,1,1,0,1,0
no,0.4018942818577303,24,-0.1279956297707186,-0.7200889562180272,-0.6782559249526872,1,3,1,5,1,0,0,1,1,0
yes,-0.3397165448614569,21,-0.5307935537234247,2.113121181532288,1.3484925938365613,1,1,1,10,0,1,0,1,1,0
yes,-0.3397165448614569,23,-0.21636726732067604,0.21500329644408092,0.13775863343383593,0,1,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,42,0.10247760095957043,1.2113468246448311,1.3065865351329056,6,9,1,15,0,1,0,1,1,0
no,-0.3397165448614569,42,-0.6378999784339733,-0.7185663169588983,-0.6782559249526872,2,3,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,36,1.3743222085785582,0.5391637721247887,1.407345297819067,1,3,1,16,0,1,0,1,1,0
yes,-0.3397165448614569,26,0.07820485784584882,0.5218871644118145,0.5848617088801491,0,0,1,14,0,1,1,0,1,0
yes,-0.3397165448614569,27,0.7262635332122036,0.391485490025236,0.8081019322999964,4,2,1,13,0,1,0,1,1,0
yes,-0.3397165448614569,26,-0.21636726732067604,0.5880427726102476,0.46190062611026955,0,0,1,10,0,1,0,1,1,0
yes,-0.3397165448614569,23,-0.46086213120889163,-0.4597509913176592,-0.48154855391583146,0,0,1,1,0,1,1,0,1,0
yes,-0.3397165448614569,29,-1.0941922003169202,-0.18333539586767866,-0.4438840334226235,1,0,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,30,-0.8938831552036833,0.41087314390538765,-0.0700929829577632,0,5,1,12,0,1,1,0,1,0
yes,-0.3397165448614569,38,-0.452024967453896,-0.6733870488433967,-0.6431154227586198,0,1,1,1,0,1,1,0,1,0
no,-0.3397165448614569,28,-0.9233403677203358,-0.7170746829650416,-0.6782559249526872,2,2,1,2,1,0,1,0,0,1
yes,-0.3397165448614569,35,-0.8055115176537259,1.3019477355617146,0.4932612336373962,0,13,1,4,0,1,1,0,1,0
no,-0.3397165448614569,37,-0.06154015833315057,-0.7202279001916708,-0.6782559249526872,1,8,0,1,1,0,1,0,1,0
yes,-0.3397165448614569,26,-0.5993110300371584,-0.27203119575573426,-0.37360301436714827,1,2,0,2,0,1,1,0,1,0
yes,-0.3397165448614569,27,2.140209734011523,0.44255782633356217,1.6862231441714604,0,0,1,13,0,1,0,1,1,0
no,-0.3397165448614569,49,0.13711928287915381,-0.7205913356210212,-0.6782559249526872,2,1,0,0,1,0,1,0,1,0
yes,-0.3397165448614569,24,-0.8055115176537259,-0.13364278278645603,-0.3365160570766995,0,1,1,12,0,1,1,0,1,0
yes,-0.3397165448614569,20,-0.9822547927536408,0.058785669073988064,-0.29307322776624845,0,0,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,23,-0.334196117387286,-0.5671773938350324,-0.5531251758310038,2,4,1,8,0,1,1,0,1,0
yes,-0.3397165448614569,25,-0.5698538175205059,-0.505517332826788,-0.5272220290464494,0,2,1,2,0,1,1,0,1,0
yes,0.4018942818577303,32,-0.21636726732067604,-0.0064788898526826535,-0.055303536791243495,0,18,0,5,0,1,1,0,1,0
yes,-0.3397165448614569,34,0.8440923832788135,4.281933632007827,6.2815181746129065,3,1,1,1,0,1,1,0,1,0
yes,-0.3397165448614569,33,-0.11032130226072706,2.502155023776455,2.2933168370398236,4,1,0,3,0,1,1,0,1,0
no,-0.3397165448614569,44,-0.9233403677203358,-0.7170746829650416,-0.6782559249526872,2,2,0,0,1,0,1,0,1,0
yes,-0.3397165448614569,21,-1.1000836428202507,-0.44397152784048527,-0.5580754032687847,0,1,1,4,0,1,1,0,1,0
yes,1.1435051085769175,25,-0.21636726732067604,-0.31843053461634113,-0.3269761987687166,0,0,0,4,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.6405511275604721,-0.5666175076776511,-0.576391244788574,3,3,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,26,-0.334196117387286,0.24830781909468483,0.11036737494478176,1,1,1,16,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.393110542420591,-0.350119859025092,-0.38670281956992353,0,0,1,0,0,1,1,0,1,0
no,1.8851159352961047,27,0.9030068083121185,-0.7215243241323057,-0.6782559249526872,2,1,1,15,1,0,0,1,1,0
no,-0.3397165448614569,26,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,0,1,0,0,1,0,1,0,0,1
yes,-0.3397165448614569,40,1.5510654836784732,-0.07803227746627606,0.4439118662848877,2,15,1,16,0,1,1,0,0,1
yes,-0.3397165448614569,42,0.31386255797906876,-0.3842290268089815,-0.29494038021907665,0,6,1,2,0,1,1,0,1,0
no,-0.3397165448614569,21,1.0208356583787284,-0.7216256448533697,-0.6782559249526872,0,2,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,24,-0.17277059279603046,1.921854701810039,1.6775910475705123,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,30,-0.5353888788760225,0.8621791555966771,0.45130970617801575,2,4,1,16,0,1,0,1,1,0
yes,-0.3397165448614569,27,-0.8055115176537259,0.4555036771668498,0.005070903773987735,0,0,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,33,-0.07025949323807948,-0.5036275192339539,-0.4723661753655591,2,12,0,2,0,1,1,0,1,0
yes,-0.3397165448614569,37,-0.37838193616226473,-0.12073565029116694,-0.2038653624517562,2,1,1,14,0,1,1,0,1,0
yes,-0.3397165448614569,26,-0.6876826675871158,-0.1883236259964336,-0.33684911571238374,0,12,1,10,0,1,1,0,1,0
no,0.4018942818577303,24,0.4316914080456787,-0.7210201955466292,-0.6782559249526872,1,0,0,4,1,0,1,0,1,0
yes,-0.3397165448614569,24,0.22549092042911129,0.26420058909777294,0.3948921474113841,0,1,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,25,-0.28706457736064217,-0.2909113967591176,-0.3172040831230232,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,32,-0.48148217997054843,-0.2184548274245253,-0.30540002745335065,2,0,1,18,0,1,1,0,1,0
no,-0.3397165448614569,32,0.3727769830123737,-0.720943000464621,-0.6782559249526872,2,2,1,0,1,0,1,0,1,0
yes,0.4018942818577303,54,-0.42845919744057387,-0.40922377122851417,-0.43900714268762464,1,6,1,19,0,1,0,1,1,0
yes,-0.3397165448614569,19,-1.0117120052702933,0.10984355194278791,-0.2800101275832156,0,3,1,8,0,1,1,0,1,0
yes,-0.3397165448614569,29,-0.5698538175205059,-0.46094376932695874,-0.4965428661615726,0,2,1,4,0,1,1,0,1,0
no,1.8851159352961047,40,0.2018662359907562,-0.7206955101051449,-0.6782559249526872,2,1,1,11,1,0,1,0,1,0
yes,-0.3397165448614569,40,2.2816043540914555,-0.3121847497493178,0.18554666238411688,2,14,1,13,0,1,0,1,1,0
no,-0.3397165448614569,41,0.6001866636409309,-0.7212215425091737,-0.6782559249526872,3,14,1,9,1,0,0,1,1,0
no,-0.3397165448614569,34,-0.03962399222076113,-0.7202716392536622,-0.6782559249526872,2,2,0,18,1,0,0,1,1,0
no,-0.3397165448614569,23,-0.6264116655524785,-0.7186132178426604,-0.6782559249526872,1,1,1,0,1,0,1,0,1,0
no,0.4018942818577303,53,0.4788229480723225,-0.721079292179363,-0.6782559249526872,1,24,1,2,1,0,1,0,1,0
no,1.1435051085769175,34,-0.518303695616364,-0.7190185608616665,-0.6782559249526872,1,7,1,3,1,0,1,0,1,0
no,-0.3397165448614569,44,-0.33095582401045426,-0.7195954408879427,-0.6782559249526872,5,0,1,0,1,0,0,1,1,0
yes,-0.3397165448614569,43,-0.5698538175205059,-0.3616246913877426,-0.42750244743870797,0,1,1,0,0,1,1,0,1,0
no,2.626726762015292,35,-1.1000836428202507,-0.7156680225356471,-0.6782559249526872,1,0,1,9,1,0,1,0,1,0
no,1.1435051085769175,35,2.9650116844777927,-0.722600851123012,-0.6782559249526872,2,5,1,12,1,0,1,0,1,0
yes,-0.3397165448614569,21,-1.0647349878002677,-0.7159926362374314,-0.6782559249526872,0,1,1,2,0,1,1,0,1,0
yes,0.4018942818577303,32,1.5510654836784732,0.27634432678718096,1.06037395625013,0,4,1,6,0,1,0,1,1,0
yes,0.4018942818577303,25,0.13711928287915381,0.0992516072605255,0.17996060573321668,2,1,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,26,0.9619212333454235,0.4183382926704715,0.9762384239835503,0,0,1,16,0,1,0,1,1,0
yes,-0.3397165448614569,46,1.2564933585119484,-0.14515521111732435,0.24402938270108804,2,13,1,7,0,1,0,1,1,0
yes,0.4018942818577303,35,3.907583570585639,0.43750439747760406,2.6862119885743247,0,6,1,29,0,1,0,1,1,0
no,-0.3397165448614569,35,0.696806320695551,-0.7213255808988669,-0.6782559249526872,3,3,1,15,1,0,0,1,1,0
no,-0.3397165448614569,20,-0.27528169235398103,-0.719742488282683,-0.6782559249526872,0,3,1,3,1,0,1,0,1,0
yes,-0.3397165448614569,25,-0.9233403677203358,0.3148750865706949,-0.13657893764932727,0,0,0,9,0,1,1,0,1,0
yes,-0.3397165448614569,31,0.49060583307898364,-0.22104589658323723,-0.06689660276701237,0,4,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,23,0.3256454429857299,1.6706380979250008,2.0407177313952825,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,23,0.15184788913748004,-0.35332282562356493,-0.28895097170287565,1,4,0,6,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.5227222774938619,0.6616835744898946,0.31717064317011295,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,40,3.907583570585639,0.07987102185079968,1.65037066359894,3,10,1,17,0,1,0,1,1,0
yes,-0.3397165448614569,43,3.9307958540487618,-0.49345345830322473,-0.007866790647288026,1,1,1,18,0,1,0,1,1,0
yes,-0.3397165448614569,23,-0.24582447983732855,-0.3398571784651562,-0.35054782509842763,0,1,1,17,0,1,0,1,1,0
yes,-0.3397165448614569,41,0.9619212333454235,1.8365772986190754,3.030135456775645,1,3,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,28,-0.5698538175205059,0.4761341158470666,0.15546614700404904,0,0,1,29,0,1,1,0,1,0
yes,-0.3397165448614569,45,5.969647361176347,-0.6153262318755616,-0.25504191375407664,2,10,1,9,0,1,0,1,1,0
no,1.8851159352961047,25,0.3727769830123737,-0.720943000464621,-0.6782559249526872,0,3,0,5,1,0,1,0,1,0
yes,0.4018942818577303,37,0.31386255797906876,0.24314994567573417,0.41435717506376635,0,4,1,4,0,1,1,0,1,0
yes,0.4018942818577303,37,-0.8055115176537259,-0.08259154638984677,-0.3069430316798826,3,3,1,3,0,1,0,1,1,0
yes,-0.3397165448614569,30,-0.7171398801037684,-0.38732881483916376,-0.4703677502147513,0,1,1,4,0,1,1,0,1,0
